id;type;age;countryISO;allTimeLevelsPlayed;currentMaxLevel;currentTotalPoints;gender;latestLevelPlayed
9decb6b2-cfaa-4b39-b5e7-75c5e806c6ed;sortingGameUserMetrics;13;ES;7;6;889;female;
22da957d-cf4b-47f5-8b21-b1be5e5f94f7;sortingGameUserMetrics;13;ES;12;10;1649;female;
147aaf35-e80f-423d-a476-67605d1edc07;sortingGameUserMetrics;13;ES;1;1;128;male;
2c3e6de7-078a-43b1-be63-4cd1e2662ccc;sortingGameUserMetrics;12;ES;6;5;707;female;
da3c89be-be68-4ada-8f7c-e385ce3acce5;sortingGameUserMetrics;13;ES;5;5;518;male;
b7f79ad0-722e-43f0-9082-79268512ce5e;sortingGameUserMetrics;12;ES;25;20;4917;male;
dae93b09-cc14-4e75-b375-cb122e33b0cc;sortingGameUserMetrics;12;ES;9;8;1319;female;
a8a62571-e706-4991-b087-50116f958a87;sortingGameUserMetrics;12;ES;3;2;250;female;
3f48a6db-cb1f-48b9-ad8c-472122f03860;sortingGameUserMetrics;12;ES;8;7;1269;female;
8409e2f2-a41a-4772-969c-1509a5cd63cb;sortingGameUserMetrics;13;ES;2;1;130;male;
b2ef37d1-e760-40c3-9eed-17519f62a716;sortingGameUserMetrics;13;ES;;;;female;
e9846649-8a2a-424d-a2db-4cf2a62aa1c1;sortingGameUserMetrics;18;GR;2;2;161;male;
cf9e7bb6-3173-45e9-b04a-e5a4c50ad66b;sortingGameUserMetrics;12;ES;7;5;881;male;
c5b3145b-64d1-445a-b9b3-32ff315f67b4;sortingGameUserMetrics;12;ES;8;7;1086;male;
caea97cc-96ee-4cc0-ba75-0f487fda6420;sortingGameUserMetrics;12;ES;5;3;419;male;
556cc10a-c750-4b38-af9c-9a0956e5aa8e;sortingGameUserMetrics;12;ES;3;3;372;female;
ed682ba1-a0fd-4013-b5c9-7bd7bb3ec982;sortingGameUserMetrics;12;ES;1;1;95;female;
f1a8221b-0947-4b8d-8eee-1acdfac50bed;sortingGameUserMetrics;12;ES;6;5;699;female;
56590fd6-2cda-4208-9241-75bddffd7e95;sortingGameUserMetrics;35;ES;8;7;1311;male;
417d8084-e03d-409d-ad20-bcdb6aa45e39;sortingGameUserMetrics;12;ES;10;8;1497;female;
3a9f15c6-582b-4d97-975d-9d2e630c2aeb;sortingGameUserMetrics;13;ES;4;2;186;male;
31fe5e85-f48e-4050-ad9e-a2617d440e17;sortingGameUserMetrics;12;ES;1;1;93;female;
b54886ac-1a10-4713-83f9-1b84d3a3bbad;sortingGameUserMetrics;12;ES;2;2;163;female;
baa2e98d-955d-4efd-8a59-38b66ecebd69;sortingGameUserMetrics;12;ES;15;7;1674;male;
0f456e8f-f405-4321-8175-f9b78df59ef8;sortingGameUserMetrics;13;ES;5;3;336;female;
c22068dc-07fb-433f-ad42-4634f98a3081;sortingGameUserMetrics;12;ES;4;3;340;male;
7bab9ca4-43d4-4fea-a7e3-817e921f7f97;sortingGameUserMetrics;13;ES;2;2;222;male;
de524e68-fa92-4575-ac76-f84125d4e347;sortingGameUserMetrics;13;ES;5;3;411;male;
216e8e09-6907-4d59-8dfa-1a46bbb06157;sortingGameUserMetrics;12;ES;13;8;1883;male;
3c8654c5-58fe-45d2-9339-8f8034677347;sortingGameUserMetrics;12;ES;8;7;1207;male;
574e6b05-e48f-4b62-a5e7-aa1add8c513d;sortingGameUserMetrics;12;ES;6;5;759;female;
8931c9f9-f831-49b4-8e98-f8d03bf83493;sortingGameUserMetrics;12;ES;2;2;190;male;
ea523016-efb5-4d16-bf5c-9fbf2b878294;sortingGameUserMetrics;12;ES;6;5;664;male;
cde2d144-bdb7-449f-a1fb-0b8c2b64a897;sortingGameUserMetrics;12;ES;21;18;4461;male;
ab59aa29-ac87-4f8d-8b3f-fa3eac031ff8;sortingGameUserMetrics;12;ES;9;7;1445;female;
6244b803-5390-47d4-9e7b-e9588347e645;sortingGameUserMetrics;12;ES;15;12;2696;female;
32f0b744-e2d2-4417-ae20-5d1dcc63c8d3;sortingGameUserMetrics;12;ES;25;20;4385;female;
9fd113aa-5f90-4fed-98e3-57ac85432019;sortingGameUserMetrics;18;ES;1;1;50;male;
51f28845-e121-4301-8338-2ab05b2fde41;sortingGameUserMetrics;56;ES;;;;female;
0219416c-86c6-4329-a82d-dbca8b16cc63;sortingGameUserMetrics;12;ES;1;1;128;male;
1a65328a-1c60-4ba5-adca-ef7550a70585;sortingGameUserMetrics;67;GR;;;;female;
3a8777f0-22c5-44a6-82c8-666e675eb7de;sortingGameUserMetrics;12;ES;7;5;933;female;
144472d6-72ec-4084-a5d1-63f7642dc6b1;sortingGameUserMetrics;13;ES;;;;female;
14966f50-4e74-400d-a069-8f793cbdf190;sortingGameUserMetrics;12;ES;12;10;2330;female;
43795247-6bfc-4485-8db8-a5d2e866525e;sortingGameUserMetrics;7;ES;;;;female;
195f45de-7289-46ba-bfc3-4afc76e5ee82;sortingGameUserMetrics;44;ES;7;5;457;male;
a5c3261a-5306-4a45-8d81-fcb8d18b842e;sortingGameUserMetrics;unspecified;ES;;;;unspecified;
d57a0254-6dfb-4fd6-b229-9834ed273173;sortingGameUserMetrics;42;GR;2;1;118;female;
43c1acfc-8faf-46d7-a77d-ecc1620e3e1b;sortingGameUserMetrics;45;ES;3;3;408;male;
e5e46f91-f09b-4390-96e0-3848c4dcb96b;sortingGameUserMetrics;12;ES;7;5;750;female;
9459de5e-abbe-4ca6-a2db-3fc11dbe2b7b;sortingGameUserMetrics;8;ES;19;14;3657;female;
69a97718-7ad4-486d-81c6-f99c2c71999c;sortingGameUserMetrics;9;ES;3;3;339;female;
e5396b05-72e1-4358-be80-22acefc96f96;sortingGameUserMetrics;;;7;3;95;;
06c6ffaf-3796-44cb-9a7d-cc62ed66f561;sortingGameUserMetrics;11;ES;;;;female;
05e08b3b-0470-47a2-a57c-39873b516a6a;sortingGameUserMetrics;27;ES;2;1;0;male;
c40d5cc1-2b1d-4071-bd8d-4656d6fa5598;sortingGameUserMetrics;12;ES;10;9;1839;female;
0150d674-f064-4ec8-a20f-158bd5dcc3db;sortingGameUserMetrics;12;ES;1;1;94;male;
bb9b86ec-143b-4333-a319-c68cfe94dc34;sortingGameUserMetrics;12;ES;10;9;1351;female;
718bf248-e745-44a8-a3ea-cb1eb8d78209;sortingGameUserMetrics;43;ES;;;;female;
81980ee6-e058-4dad-877a-66f5839d550b;sortingGameUserMetrics;8;ES;6;4;567;female;
2cbd2cbd-7a5c-4eb4-bb1e-f11b254530db;sortingGameUserMetrics;40;ES;6;5;1072;male;
c8bada0d-70d4-4eb2-9111-0cdd75e0d94c;sortingGameUserMetrics;unspecified;IT;;;;unspecified;
7b890991-f211-4f9b-af40-9e930429c29f;sortingGameUserMetrics;;;3;3;404;;
d96685bd-c36e-4d5d-afd3-6bb7f3207b4b;sortingGameUserMetrics;12;ES;2;2;205;male;
1bbd641c-9693-4341-b36a-b8542ce231a3;sortingGameUserMetrics;unspecified;ES;5;5;401;unspecified;
0d144011-ef1a-470b-b0f5-8367408d2edd;sortingGameUserMetrics;44;IT;12;10;2441;male;
9888f5b2-3744-4909-aea2-d11bd89fdb9b;sortingGameUserMetrics;18;PT;1;1;123;male;
537f4315-964c-444c-adbb-bc7b92af6038;sortingGameUserMetrics;24;ES;4;4;587;female;
442219fe-100c-491a-bc9b-7e006f66ace1;sortingGameUserMetrics;41;ES;2;2;214;female;
55543f21-ddcb-422c-958b-e65a9366c580;sortingGameUserMetrics;27;GR;5;4;579;female;
f048cd5d-7be5-4bb3-9319-2a18c01f4459;sortingGameUserMetrics;12;ES;2;2;256;female;
36a58011-a9f8-4bed-8fc3-feff62695f2e;sortingGameUserMetrics;10;ES;4;4;460;female;
d2d5659e-24da-49bc-9280-4ffc7526cda5;sortingGameUserMetrics;15;ES;21;18;4536;female;
1ae86e90-b047-47d8-b588-06fb90d89c50;sortingGameUserMetrics;18;IT;14;12;3004;unspecified;
