TimeDate;ID;Val
28/01/2019 8:30;410;951.723.938
28/01/2019 8:45;410;9.034.483.337
28/01/2019 9:00;410;9.275.863.647
28/01/2019 9:15;410;9.034.483.337
28/01/2019 9:30;410;9.034.483.337
28/01/2019 9:45;410;8.793.103.027
28/01/2019 10:00;410;855.172.348
28/01/2019 10:15;410;831.034.317
28/01/2019 10:30;410;831.034.317
28/01/2019 10:45;410;831.034.317
28/01/2019 11:00;410;8.068.967.438
28/01/2019 11:15;410;7.827.587.128
28/01/2019 11:30;410;7.827.587.128
28/01/2019 11:45;410;7.586.206.818
28/01/2019 12:00;410;7.586.206.818
28/01/2019 12:15;410;7.344.826.508
28/01/2019 12:30;410;7.344.826.508
28/01/2019 12:45;410;7.344.826.508
28/01/2019 13:00;410;7.344.826.508
28/01/2019 13:15;410;7.103.446.198
28/01/2019 13:30;410;7.103.446.198
28/01/2019 13:45;410;6.862.070.465
28/01/2019 14:00;410;7.103.446.198
28/01/2019 14:15;410;7.344.826.508
28/01/2019 14:30;410;7.103.446.198
28/01/2019 14:45;410;7.103.446.198
28/01/2019 15:00;410;7.103.446.198
28/01/2019 15:15;410;7.103.446.198
28/01/2019 15:30;410;7.103.446.198
28/01/2019 15:45;410;6.862.070.465
28/01/2019 16:00;410;6.862.070.465
28/01/2019 16:15;410;6.862.070.465
28/01/2019 16:30;410;6.620.690.155
28/01/2019 16:45;410;6.620.690.155
28/01/2019 17:00;410;6.620.690.155
28/01/2019 17:15;410;6.620.690.155
28/01/2019 17:30;410;6.620.690.155
28/01/2019 17:45;410;6.620.690.155
28/01/2019 18:00;410;6.620.690.155
28/01/2019 18:15;410;30
28/01/2019 18:30;410;30
28/01/2019 18:45;410;30
28/01/2019 19:00;410;30
28/01/2019 19:15;410;30
28/01/2019 19:30;410;30
28/01/2019 19:45;410;30
28/01/2019 20:00;410;30
28/01/2019 20:15;410;30
28/01/2019 20:30;410;30
28/01/2019 20:45;410;30
28/01/2019 21:00;410;30
28/01/2019 21:15;410;30
28/01/2019 21:30;410;30
28/01/2019 21:45;410;30
28/01/2019 22:00;410;30
28/01/2019 22:15;410;30
28/01/2019 22:30;410;30
28/01/2019 22:45;410;30
28/01/2019 23:00;410;30
28/01/2019 23:15;410;30
28/01/2019 23:30;410;30
28/01/2019 23:45;410;30
29/01/2019;410;30
29/01/2019 0:15;410;30
29/01/2019 0:30;410;30
29/01/2019 0:45;410;30
22/01/2019;;
22/01/2019 17:00;409;22.5
22/01/2019 17:30;409;22.5
22/01/2019 17:45;409;22.5
22/01/2019 18:00;409;22.5
22/01/2019 18:15;409;17
22/01/2019 18:30;409;17
22/01/2019 18:45;409;17
22/01/2019 19:00;409;17
22/01/2019 19:15;409;17
22/01/2019 19:30;409;17
22/01/2019 19:45;409;17
22/01/2019 20:00;409;17
22/01/2019 20:15;409;17
22/01/2019 20:30;409;17
22/01/2019 20:45;409;17
22/01/2019 21:00;409;17
22/01/2019 21:15;409;17
22/01/2019 21:30;409;17
22/01/2019 21:45;409;17
22/01/2019 22:00;409;17
22/01/2019 22:15;409;17
22/01/2019 22:30;409;17
22/01/2019 22:45;409;17
22/01/2019 23:00;409;17
22/01/2019 23:15;409;17
22/01/2019 23:30;409;17
22/01/2019 23:45;409;17
23/01/2019;409;17
23/01/2019 0:15;409;17
23/01/2019 0:30;409;17
23/01/2019 0:45;409;17
23/01/2019 1:00;409;17
23/01/2019 1:15;409;17
23/01/2019 1:30;409;17
23/01/2019 1:45;409;17
23/01/2019 2:00;409;17
