id;type;Q_PreAndPost_ChangeHabits;Q_PreAndPost_SustainableWasteImportance;Q_PreAndReplay_RateHabits;Q_Replay_ChangeHabits;Q_Post_Enjoyment;Q_Post_Learning;Q_Post_Recommend;question1Pre;question2Pre;question3Pre;question4Pre;question5Pre;question6Pre;question7Pre
31fe5e85-f48e-4050-ad9e-a2617d440e17;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
b54886ac-1a10-4713-83f9-1b84d3a3bbad;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
0f456e8f-f405-4321-8175-f9b78df59ef8;sortingGameUserQuestionnaire;6;4;4;;;;;;;;;;;
7bab9ca4-43d4-4fea-a7e3-817e921f7f97;sortingGameUserQuestionnaire;5;6;4;;;;;;;;;;;
216e8e09-6907-4d59-8dfa-1a46bbb06157;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
3c8654c5-58fe-45d2-9339-8f8034677347;sortingGameUserQuestionnaire;5;5;4;;;;;;;;;;;
574e6b05-e48f-4b62-a5e7-aa1add8c513d;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
de524e68-fa92-4575-ac76-f84125d4e347;sortingGameUserQuestionnaire;6;5;5;;;;;;;;;;;
8931c9f9-f831-49b4-8e98-f8d03bf83493;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
ea523016-efb5-4d16-bf5c-9fbf2b878294;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
cde2d144-bdb7-449f-a1fb-0b8c2b64a897;sortingGameUserQuestionnaire;3;4;6;;;;;;;;;;;
ab59aa29-ac87-4f8d-8b3f-fa3eac031ff8;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
32f0b744-e2d2-4417-ae20-5d1dcc63c8d3;sortingGameUserQuestionnaire;5;5;4;1;;;;;;;;;;
6244b803-5390-47d4-9e7b-e9588347e645;sortingGameUserQuestionnaire;6;6;5;;;;;;;;;;;
9fd113aa-5f90-4fed-98e3-57ac85432019;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
51f28845-e121-4301-8338-2ab05b2fde41;sortingGameUserQuestionnaire;6;5;6;;;;;;;;;;;
