Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;
16932;2618JYP;19/01/2018 08:55:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;109,00;
16931;2618JYP;19/01/2018 08:55:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;274,90;
16930;2618JYP;19/01/2018 08:53:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;280,90;
16929;2618JYP;19/01/2018 08:53:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;398,00;
16889;2618JYP;19/01/2018 06:20:00;8EE178;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN I;24;154,00;
16888;2618JYP;19/01/2018 06:13:59;B54083;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN II;24;196,00;
16886;2618JYP;19/01/2018 06:13:00;B54083;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN II;24;300,00;
16887;2618JYP;19/01/2018 06:13:00;B54083;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN II;24;137,00;
15978;2618JYP;12/01/2018 07:27:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;3;42,00;
15963;2618JYP;12/01/2018 07:07:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;3;46,00;
15746;2618JYP;11/01/2018 07:21:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;4,00;
15609;2618JYP;10/01/2018 07:27:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;50,00;
15056;2618JYP;05/01/2018 08:01:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;34,00;
14791;2618JYP;04/01/2018 07:25:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;213,00;
14790;2618JYP;04/01/2018 07:23:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;252,00;
14774;2618JYP;04/01/2018 06:58:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;272,00;
14673;2618JYP;03/01/2018 07:16:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;2,00;
14657;2618JYP;03/01/2018 06:53:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;132,00;
14506;2618JYP;02/01/2018 07:32:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;78,00;
14484;2618JYP;02/01/2018 07:02:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;114,00;
129125;7501JXG;29/03/2019 11:06:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;570,00;
129124;7501JXG;29/03/2019 11:06:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;606,00;
129123;7501JXG;29/03/2019 11:05:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;578,00;
129122;7501JXG;29/03/2019 11:03:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;340,00;
129519;7501JXG;29/03/2019 10:54:00;9DFE9C;Organico;cl org 2200;5;ZAMUDIO;AREA URBANA;24;114,00;
134495;7501JXG;29/03/2019 10:52:00;9DFECC;Organico;cl org 2200;1;ZAMUDIO;AREA URBANA;24;6,00;
134494;7501JXG;29/03/2019 10:47:59;9DFC01;Organico;cl org 2200;5;ZAMUDIO;AREA URBANA;24;172,00;
134493;7501JXG;29/03/2019 10:45:59;9DF695;Organico;cl org 2200;5;ZAMUDIO;AREA URBANA;24;180,00;
130956;7501JXG;29/03/2019 10:43:00;9DF1AB;Organico;cl org 2200;5;ZAMUDIO;AREA URBANA;24;50,00;
130955;7501JXG;29/03/2019 10:41:00;9DF24C;Organico;cl org 2200;5;ZAMUDIO;AREA URBANA;24;68,00;
130954;7501JXG;29/03/2019 10:38:59;9DFB83;Organico;cl org 2200;2;ZAMUDIO;AREA URBANA;24;124,00;
132026;7501JXG;29/03/2019 06:17:59;9DF259;Organico;cl org 2200 lec;1;ZAMUDIO;UGALDEGUREN III;11;36,00;
129276;1743DKT;21/03/2019 14:37:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;40,00;
129275;1743DKT;21/03/2019 14:32:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;604,00;
129274;1743DKT;21/03/2019 14:24:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;324,00;
129273;1743DKT;21/03/2019 14:21:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;512,00;
122896;7501JXG;01/03/2019 10:41:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;250,00;
122895;7501JXG;01/03/2019 10:41:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;418,00;
122894;7501JXG;01/03/2019 10:39:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;502,00;
122893;7501JXG;01/03/2019 10:38:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;326,00;
122892;7501JXG;01/03/2019 10:38:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;508,00;
120012;1541CLM;28/02/2019 08:51:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;13,00;
119962;1541CLM;28/02/2019 08:30:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;38,00;
120318;1541CLM;27/02/2019 08:55:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;115,00;
122579;1541CLM;27/02/2019 08:32:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;2,00;
119733;1541CLM;26/02/2019 09:00:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;11,00;
119735;1541CLM;26/02/2019 08:37:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;31,00;
119716;1541CLM;25/02/2019 08:37:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;24,00;
118342;7501JXG;22/02/2019 10:30:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;616,00;
122560;1541CLM;22/02/2019 08:44:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;13,00;
119809;1541CLM;22/02/2019 08:21:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;19,00;
