Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;
66569;2618JYP;26/09/2018 09:56:00;B54C4F;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;5,00;
66568;2618JYP;26/09/2018 09:53:59;B549EF;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;67,00;
66567;2618JYP;26/09/2018 09:51:00;B57AE2;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;0,00;
66566;2618JYP;26/09/2018 09:49:59;B57AE2;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;26,00;
66565;2618JYP;26/09/2018 09:42:00;B58CBC;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;22,00;
66564;2618JYP;26/09/2018 09:40:59;A715DD;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;0,00;
66553;2618JYP;26/09/2018 09:13:59;B54A36;Papel-Cartón;Ct pc 800;2;ZAMUDIO;UGALDEGUREN I;22;11,00;
66552;2618JYP;26/09/2018 09:11:59;B57CBC;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;23,00;
66548;2618JYP;26/09/2018 09:06:59;B54C2A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;38,00;
66547;2618JYP;26/09/2018 09:06:00;ZAMIP;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;17,00;
66546;2618JYP;26/09/2018 09:04:59;B57BF9;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;5,00;
66545;2618JYP;26/09/2018 09:04:59;B57BF9;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;19,00;
66544;2618JYP;26/09/2018 09:02:59;B56DF3;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN I;22;32,00;
66543;2618JYP;26/09/2018 09:00:59;B54A17;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;40,00;
66542;2618JYP;26/09/2018 09:00:00;B57CAB;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;34,00;
66540;2618JYP;26/09/2018 08:57:59;B57E3C;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;32,00;
66539;2618JYP;26/09/2018 08:57:00;B54E21;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;19,00;
66538;2618JYP;26/09/2018 08:55:59;B54E21;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;30,00;
66537;2618JYP;26/09/2018 08:55:00;B57EA5;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;2,00;
66534;2618JYP;26/09/2018 08:48:59;8EFA0D;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;SIN ASIGNAR;22;12,00;
66535;2618JYP;26/09/2018 08:48:59;8EFA0D;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;SIN ASIGNAR;22;9,00;
66512;2618JYP;26/09/2018 07:54:00;B57EB0;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;22,00;
66511;2618JYP;26/09/2018 07:52:59;B54152;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;24,00;
66510;2618JYP;26/09/2018 07:48:59;8B9DB8;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;17,00;
66509;2618JYP;26/09/2018 07:47:59;8B9DB8;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;25,00;
66508;2618JYP;26/09/2018 07:47:00;B54B54;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;7,00;
66504;2618JYP;26/09/2018 07:41:59;8EC345;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;32,00;
66503;2618JYP;26/09/2018 07:39:59;B54CC5;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;21,00;
66502;2618JYP;26/09/2018 07:38:59;B57D86;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;34,00;
66501;2618JYP;26/09/2018 07:38:00;B5907B;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;46,00;
66500;2618JYP;26/09/2018 07:36:59;B58C49;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;12,00;
66499;2618JYP;26/09/2018 07:34:59;B54E21;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;38,00;
65204;2618JYP;26/09/2018 07:34:00;B543C6;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;18,00;
66498;2618JYP;26/09/2018 07:32:59;B578FB;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;0,00;
66497;2618JYP;26/09/2018 07:32:59;B578FB;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;11,00;
66496;2618JYP;26/09/2018 07:32:00;B578FB;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;22;13,00;
66489;2618JYP;26/09/2018 07:21:59;B58C14;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;17,00;
66488;2618JYP;26/09/2018 07:21:59;B58C14;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;31,00;
66486;2618JYP;26/09/2018 07:20:00;B58F64;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;24,00;
66487;2618JYP;26/09/2018 07:20:00;B54243;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;30,00;
66484;2618JYP;26/09/2018 07:16:59;B59153;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;9,00;
66485;2618JYP;26/09/2018 07:16:59;B59153;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;40,00;
66483;2618JYP;26/09/2018 07:14:59;B57A24;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;20,00;
66482;2618JYP;26/09/2018 07:12:59;B54B23;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;37,00;
66481;2618JYP;26/09/2018 07:12:00;B58D5D;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;23,00;
66480;2618JYP;26/09/2018 07:09:59;B595B1;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;1,00;
66471;2618JYP;26/09/2018 06:53:00;B5443F;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;9,00;
