Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
44480;2618JYP;03/07/2018 05:55:59;8EF462;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;20;18,00;SortingType:6
44478;2618JYP;03/07/2018 05:53:00;8EE598;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;20;3,00;SortingType:6
44477;2618JYP;03/07/2018 05:51:00;ZAMIP;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;20;41,00;
44476;2618JYP;03/07/2018 05:50:00;8EFB09;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;20;19,00;SortingType:6
44472;2618JYP;03/07/2018 05:46:00;8BA51B;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;19;0,00;SortingType:6
44475;2618JYP;03/07/2018 05:46:00;8BB8EA;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;19;2,00;SortingType:6
45989;7501JXG;03/07/2018 05:39:00;F07BD1;Papel-Cartón;Cl pc 3200;0;ZAMUDIO;AREA URBANA;2;12,00;SortingType:7
45988;7501JXG;03/07/2018 05:37:59;F0CEEB;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;2;54,00;SortingType:7
45987;7501JXG;03/07/2018 05:35:59;F088B9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;116,00;SortingType:7
45986;7501JXG;03/07/2018 05:35:00;F0BD2A;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;36,00;SortingType:7
44466;2618JYP;02/07/2018 12:08:59;B54C91;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;19;16,00;
47387;1541CLM;02/07/2018 11:26:00;B591BE;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;13;82,00;SortingType:6
47385;1541CLM;02/07/2018 11:23:59;B58CD7;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;13;32,00;SortingType:6
47383;1541CLM;02/07/2018 11:21:59;B57B2A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;13;11,00;SortingType:6
44415;2618JYP;02/07/2018 11:03:59;B5417A;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN I;19;13,00;SortingType:6
44335;2618JYP;02/07/2018 07:47:00;B54220;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;19;8,00;SortingType:6
44276;2618JYP;02/07/2018 06:06:00;B54C84;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN III;19;0,00;SortingType:6
43384;7501JXG;30/06/2018 08:21:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;24,00;
43379;7501JXG;30/06/2018 08:12:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;64,00;
43372;7501JXG;30/06/2018 07:57:00;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;6;38,00;
43369;7501JXG;30/06/2018 07:52:00;F0815F;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;AREA URBANA;6;30,00;SortingType:7
43368;7501JXG;30/06/2018 07:47:59;F08144;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;50,00;SortingType:7
43367;7501JXG;30/06/2018 07:47:00;F0B5A8;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;32,00;SortingType:7
43366;7501JXG;30/06/2018 07:45:00;F094E9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;14,00;SortingType:7
43365;7501JXG;30/06/2018 07:43:59;F0A402;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;46,00;SortingType:7
43364;7501JXG;30/06/2018 07:43:00;F0AA46;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;64,00;SortingType:7
43363;7501JXG;30/06/2018 07:41:00;F0C8DC;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;6;40,00;SortingType:7
43362;7501JXG;30/06/2018 07:39:59;F0986F;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;6;94,00;SortingType:7
43361;7501JXG;30/06/2018 07:38:59;F0BD14;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;40,00;SortingType:7
43360;7501JXG;30/06/2018 07:38:00;F0C215;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;48,00;SortingType:7
43359;7501JXG;30/06/2018 07:36:59;F0BDAF;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;36,00;SortingType:7
43358;7501JXG;30/06/2018 07:34:59;F093FE;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;6;42,00;SortingType:7
43357;7501JXG;30/06/2018 07:32:59;F0A544;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;AREA URBANA;6;22,00;SortingType:7
43356;7501JXG;30/06/2018 07:30:00;F0963B;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;PARQUE TECNOLOGICO;6;20,00;SortingType:7
