Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
102252;7501JXG;28/12/2018 06:20:59;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;11;92,00;
102251;7501JXG;28/12/2018 06:20:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;11;46,00;
102250;7501JXG;28/12/2018 06:13:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;11;162,00;
102249;7501JXG;28/12/2018 06:13:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;11;10,00;
101778;2618JYP;27/12/2018 12:02:00;B54212;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;119,00;SortingType:1
101776;2618JYP;27/12/2018 11:55:00;B54236;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;76,00;
101774;2618JYP;27/12/2018 11:53:00;B591B7;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;11,90;
101775;2618JYP;27/12/2018 11:53:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;23;0,00;
101773;2618JYP;27/12/2018 11:48:00;B55063;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;27,00;SortingType:1
101772;2618JYP;27/12/2018 11:46:59;B54BE3;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;26,00;SortingType:1
101771;2618JYP;27/12/2018 11:46:00;B595FD;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;73,00;SortingType:1
101770;2618JYP;27/12/2018 11:44:59;B595FD;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;12,00;SortingType:1
101769;2618JYP;27/12/2018 11:44:59;B595FD;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;4,00;SortingType:1
101768;2618JYP;27/12/2018 11:39:00;B57828;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;43,00;SortingType:1
101767;2618JYP;27/12/2018 11:30:59;B56E59;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;47,90;SortingType:1
101766;2618JYP;27/12/2018 11:30:59;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;23;10,00;
101747;2618JYP;27/12/2018 10:11:00;B57C9C;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;23;137,00;SortingType:6
102832;1541CLM;27/12/2018 09:17:59;8BA40E;Fracción Resto;Ct fr 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;18,00;
102831;1541CLM;27/12/2018 09:17:00;F0BD35;Fracción Resto;Ct fr 800;5;ZAMUDIO;PARQUE TECNOLOGICO;13;17,00;SortingType:1
102829;1541CLM;27/12/2018 09:13:00;F08544;Fracción Resto;Ct fr 800;2;ZAMUDIO;PARQUE TECNOLOGICO;13;58,00;SortingType:1
