;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
110;2618JYP;27/12/2018 08:28:00;8EF988;2;23;302;SortingType:1
111;1541CLM;27/12/2018 08:28:00;F08680;5;13;115;SortingType:1
112;1541CLM;27/12/2018 08:26:59;F08AC3;5;13;41;SortingType:1
113;1541CLM;27/12/2018 08:24:59;F0867A;5;13;19;SortingType:1
114;1541CLM;27/12/2018 08:23:59;F090C2;5;13;13;SortingType:1
115;2618JYP;27/12/2018 08:23:59;B54BB4;2;23;638;SortingType:1
116;2618JYP;27/12/2018 08:23:00;B54966;2;23;607;SortingType:1
117;2618JYP;27/12/2018 08:21:59;B53FCE;2;23;516;SortingType:1
118;1541CLM;27/12/2018 08:21:59;F0B2D8;5;13;16;SortingType:1
119;1541CLM;27/12/2018 08:19:00;F0C9F1;5;13;45;SortingType:1
120;2618JYP;27/12/2018 08:19:00;B57AC4;2;23;135;SortingType:1
121;2618JYP;27/12/2018 08:15:00;B54D09;2;23;98;SortingType:1
122;1541CLM;27/12/2018 08:15:00;F0B2C9;5;13;12;SortingType:1
123;1541CLM;27/12/2018 08:15:00;F094B7;5;13;44;SortingType:1
124;1541CLM;27/12/2018 08:14:00;F0866B;5;13;14;SortingType:1
125;1541CLM;27/12/2018 08:12:00;F0AD37;5;13;7;SortingType:1
126;2618JYP;27/12/2018 08:12:00;B54443;2;23;67;SortingType:1
127;2618JYP;27/12/2018 08:10:00;B578FA;2;23;35;SortingType:1
128;2618JYP;27/12/2018 08:06:59;B591A9;2;23;29;SortingType:1
129;2618JYP;27/12/2018 08:06:00;B54C57;2;23;15;SortingType:1
130;2618JYP;27/12/2018 08:05:00;B58D71;2;23;19;SortingType:1
131;1541CLM;27/12/2018 07:54:00;8BA401;2;13;89;SortingType:1
132;1541CLM;27/12/2018 07:54:00;8EFEF7;2;13;25;SortingType:1
133;1541CLM;27/12/2018 07:54:00;8EC27A;2;13;51;SortingType:1
134;1541CLM;27/12/2018 07:54:00;8BC02B;2;13;47;SortingType:1
135;1541CLM;27/12/2018 07:52:59;8BBDA7;2;13;48;SortingType:1
136;1541CLM;27/12/2018 07:52:59;8EB4B1;2;13;22;SortingType:1
137;1541CLM;27/12/2018 07:50:00;8EE0E7;2;13;58;SortingType:1
138;1541CLM;27/12/2018 07:45:00;ZAMIR;2;13;56;SortingType:1
139;2618JYP;27/12/2018 07:41:59;B54E1F;2;23;7;SortingType:1
140;2618JYP;27/12/2018 07:41:00;B5500F;2;23;7;SortingType:1
141;2618JYP;27/12/2018 07:38:59;B54AC9;2;23;7;SortingType:1
142;2618JYP;27/12/2018 07:36:00;B550D3;2;23;7;SortingType:1
143;2618JYP;27/12/2018 07:34:00;B54B33;2;23;7;SortingType:1
144;2618JYP;27/12/2018 07:32:59;B54CA8;2;23;7;SortingType:1
145;2618JYP;27/12/2018 07:32:59;B54C80;2;23;4275;SortingType:1
146;2618JYP;27/12/2018 07:30:59;B57643;2;23;12;SortingType:1
147;2618JYP;27/12/2018 07:29:00;B54B6A;2;23;7;SortingType:1
148;2618JYP;27/12/2018 07:21:00;B55094;2;23;17;SortingType:1
149;2618JYP;27/12/2018 07:09:59;B5422C;2;23;65;SortingType:1
