;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
105;2618JYP;21/12/2018 07:54:00;F0A3D4;5;24;13;SortingType:6
106;2618JYP;21/12/2018 07:47:59;F07DE1;5;24;63;SortingType:6
107;2618JYP;21/12/2018 07:47:00;F0B38D;5;24;12;SortingType:6
108;2618JYP;21/12/2018 07:45:59;F08A9C;5;24;5;SortingType:6
109;7501JXG;21/12/2018 07:45:59;F0A402;5;11;26;SortingType:7
110;2618JYP;21/12/2018 07:43:59;F0C9DD;5;24;44;SortingType:6
111;7501JXG;21/12/2018 07:43:59;F0C8DC;6;11;32;SortingType:7
112;7501JXG;21/12/2018 07:43:00;F0986F;6;11;66;SortingType:7
113;2618JYP;21/12/2018 07:41:59;F0A6D4;5;24;3;SortingType:6
114;7501JXG;21/12/2018 07:41:59;F0BD14;5;11;58;SortingType:7
115;2618JYP;21/12/2018 07:41:00;F0BC93;5;24;64;SortingType:6
116;2618JYP;21/12/2018 07:39:59;F0C7EE;5;24;14;SortingType:6
117;2618JYP;21/12/2018 07:39:59;F0BE51;5;24;51;SortingType:6
118;7501JXG;21/12/2018 07:38:00;F08144;5;11;36;SortingType:7
119;7501JXG;21/12/2018 07:36:59;F0B5A8;5;11;78;SortingType:7
120;2618JYP;21/12/2018 07:36:59;F08DD9;5;24;42;SortingType:6
121;2618JYP;21/12/2018 07:34:00;F09BDD;2;24;11;SortingType:6
122;2618JYP;21/12/2018 07:32:00;F08B3F;2;24;27;NaN
123;2618JYP;21/12/2018 07:29:00;8BA60F;2;24;0;SortingType:6
124;2618JYP;21/12/2018 07:27:59;8B5784;2;24;0;SortingType:6
125;2618JYP;21/12/2018 07:27:59;8BB741;2;24;0;SortingType:6
126;2618JYP;21/12/2018 07:23:00;8BA51B;2;24;18;SortingType:6
127;2618JYP;20/12/2018 14:19:59;B58FF8;2;23;55;SortingType:6
128;2618JYP;20/12/2018 14:19:00;B5424E;2;23;36;SortingType:6
129;2618JYP;20/12/2018 12:54:59;B54C91;2;23;10;SortingType:6
130;2618JYP;20/12/2018 11:55:00;B5417A;2;23;24;SortingType:6
131;1541CLM;20/12/2018 10:18:59;B591BE;2;16;144;SortingType:6
132;1541CLM;20/12/2018 09:13:59;B57B2A;2;16;65;SortingType:6
133;1541CLM;20/12/2018 09:04:59;B57EF3;2;16;11;SortingType:6
134;2618JYP;20/12/2018 08:42:59;B54B18;2;23;29;SortingType:6
135;2618JYP;20/12/2018 08:42:00;B590CB;2;23;16;SortingType:6
136;2618JYP;20/12/2018 08:28:59;B54220;2;23;35;SortingType:6
137;2618JYP;20/12/2018 07:27:00;B54333;2;23;11;SortingType:6
138;7501JXG;20/12/2018 05:41:00;F087B6;2;4;32;SortingType:7
139;7501JXG;20/12/2018 05:37:59;F0B86C;5;4;50;SortingType:7
140;7501JXG;20/12/2018 05:33:59;F0C2B4;5;4;66;SortingType:7
141;2618JYP;19/12/2018 13:30:00;ZAMIP;2;22;30;SortingType:6
142;2618JYP;19/12/2018 13:27:59;8EFFC8;2;22;83;SortingType:6
143;2618JYP;19/12/2018 13:25:59;ZAMIP;2;22;14;SortingType:6
144;2618JYP;19/12/2018 13:23:00;8BC393;2;22;41;SortingType:6
145;2618JYP;19/12/2018 13:20:00;8EE15E;2;22;51;SortingType:6
146;2618JYP;19/12/2018 13:18:59;8BAC26;2;22;22;SortingType:6
147;2618JYP;19/12/2018 13:18:00;8EB28A;2;22;16;SortingType:6
148;2618JYP;19/12/2018 13:14:59;ZAMIP;2;22;27;SortingType:6
149;2618JYP;19/12/2018 13:09:00;B540AD;2;22;29;SortingType:6
150;2618JYP;19/12/2018 13:09:00;B54C58;2;22;15;SortingType:6
151;2618JYP;19/12/2018 13:07:00;B56DB6;2;22;32;SortingType:6
152;2618JYP;19/12/2018 13:05:00;B57CCF;2;22;7;SortingType:6
153;2618JYP;19/12/2018 13:02:00;B550D4;2;22;78;SortingType:6
154;2618JYP;19/12/2018 13:02:00;B54221;2;22;54;SortingType:6
155;2618JYP;19/12/2018 13:00:59;B54258;2;22;22;SortingType:6
156;2618JYP;19/12/2018 13:00:59;B59075;2;22;99;SortingType:6
157;2618JYP;19/12/2018 13:00:00;B58EC0;2;22;207;SortingType:6
158;2618JYP;19/12/2018 12:56:59;ZAMIP;2;22;180;SortingType:6
159;2618JYP;19/12/2018 12:54:59;B578EE;2;22;15;SortingType:6
160;2618JYP;19/12/2018 12:49:00;B578CE;2;22;24;SortingType:6
161;2618JYP;19/12/2018 12:47:00;B54BB8;2;22;44;SortingType:6
162;2618JYP;19/12/2018 12:45:00;B57BC9;2;22;43;SortingType:6
163;2618JYP;19/12/2018 12:45:00;B56E9B;2;22;5;SortingType:6
164;2618JYP;19/12/2018 12:44:00;B54C4A;2;22;49;SortingType:6
165;2618JYP;19/12/2018 12:42:59;B59010;2;22;55;SortingType:6
166;2618JYP;19/12/2018 12:42:00;B58FC4;2;22;81;SortingType:6
167;2618JYP;19/12/2018 12:38:59;8EC449;2;22;81;SortingType:6
168;2618JYP;19/12/2018 12:31:59;A715DD;2;22;10;SortingType:6
169;2618JYP;19/12/2018 12:04:00;B54152;2;22;20;SortingType:6
170;2618JYP;19/12/2018 12:02:00;8B9DB8;2;22;62;SortingType:6
171;2618JYP;19/12/2018 12:00:59;B54B54;2;22;21;SortingType:6
172;2618JYP;19/12/2018 11:53:59;B57C84;2;22;54;SortingType:6
173;2618JYP;19/12/2018 11:53:59;B54C2A;2;22;51;SortingType:6
174;2618JYP;19/12/2018 11:51:59;B57BF9;2;22;26;SortingType:6
175;2618JYP;19/12/2018 11:51:00;ZAMIP;2;22;16;SortingType:6
176;2618JYP;19/12/2018 11:50:00;B57639;2;22;32;SortingType:6
177;2618JYP;19/12/2018 11:48:59;B57CAB;2;22;43;SortingType:6
178;2618JYP;19/12/2018 11:46:59;B54A17;2;22;29;SortingType:6
179;2618JYP;19/12/2018 11:46:00;B57CBC;2;22;56;SortingType:6
180;2618JYP;19/12/2018 11:30:59;B57AE2;2;22;25;SortingType:6
181;2618JYP;19/12/2018 11:26:59;B54C4F;2;22;8;SortingType:6
182;2618JYP;19/12/2018 11:23:00;8BA476;2;22;26;SortingType:6
183;2618JYP;19/12/2018 11:17:00;8BBD5E;2;22;65;SortingType:6
184;2618JYP;19/12/2018 11:14:00;8EFB09;2;22;37;SortingType:6
185;2618JYP;19/12/2018 11:12:59;ZAMIP;2;22;33;SortingType:6
186;2618JYP;19/12/2018 11:08:59;B54A4C;2;22;61;SortingType:6
187;2618JYP;19/12/2018 09:15:59;8F072A;2;22;13;SortingType:6
188;2618JYP;19/12/2018 09:13:59;B549CB;2;22;37;SortingType:6
189;2618JYP;19/12/2018 09:13:00;B54C0E;2;22;41;SortingType:6
190;2618JYP;19/12/2018 09:11:00;B54E04;2;22;57;SortingType:6
191;2618JYP;19/12/2018 09:09:59;B58C24;2;22;18;SortingType:6
192;2618JYP;19/12/2018 09:00:00;B57D2B;2;22;35;SortingType:6
193;2618JYP;19/12/2018 08:37:00;B58C14;2;22;12;SortingType:6
194;2618JYP;19/12/2018 08:35:00;B54243;2;22;17;SortingType:6
195;2618JYP;19/12/2018 08:35:00;B58F64;2;22;80;SortingType:6
196;2618JYP;19/12/2018 08:33:59;B58D91;2;22;19;SortingType:6
197;2618JYP;19/12/2018 08:32:00;B59153;2;22;56;SortingType:6
198;2618JYP;19/12/2018 08:30:59;B57A24;2;22;39;SortingType:6
199;2618JYP;19/12/2018 08:28:00;B54B23;2;22;10;SortingType:6
200;2618JYP;19/12/2018 08:26:59;B58D5D;2;22;26;SortingType:6
201;2618JYP;19/12/2018 08:19:59;B58C49;2;22;13;SortingType:6
202;2618JYP;19/12/2018 08:17:59;B54C55;2;22;24;SortingType:6
203;2618JYP;19/12/2018 08:15:59;B57ADF;2;22;30;SortingType:6
204;2618JYP;19/12/2018 08:15:00;B54E21;2;22;55;SortingType:6
205;2618JYP;19/12/2018 08:14:00;B54CE7;2;22;37;SortingType:6
206;2618JYP;19/12/2018 08:12:59;B543C6;2;22;7;SortingType:6
207;2618JYP;19/12/2018 08:12:00;B578FB;2;22;49;SortingType:6
208;1541CLM;19/12/2018 08:08:59;F08A9C;5;15;18;SortingType:6
